Date,Time,DateTime,Energy_level,Mood,Weather_Condition,Current_Activity,Location,Procrastination_Score,Num_Productive_tasks,Notes
13 August 2025 2:00:00 PM,2:00:00 PM,13-08-2025 14:00,5,Happy,Cloudy,Work,Office Space,1,2,
13 August 2025 3:00:00 PM,3:00:00 PM,13-08-2025 15:00,4,Tired,Gloomy,Gaming,Gaming Room,8,0,
13 August 2025 4:00:00 PM,4:00:00 PM,13-08-2025 16:00,4,Tired,Gloomy,Chilling,Bedroom,10,0,
13 August 2025 5:00:00 PM,5:00:00 PM,13-08-2025 17:00,4,Tired,Gloomy,Board Games,Bedroom,10,0,
13 August 2025 6:00:00 PM,6:00:00 PM,13-08-2025 18:00,5,Tired,Gloomy,Board Games,Bedroom,10,0,
13 August 2025 7:00:00 PM,7:00:00 PM,13-08-2025 19:00,4,Tired,Gloomy,Netflix,Bedroom,10,0,
13 August 2025 8:00:00 PM,8:00:00 PM,13-08-2025 20:00,6,Energised,Cloudy,Exploring,Leyton,1,1,
13 August 2025 9:00:00 PM,9:00:00 PM,13-08-2025 21:00,7,Energised,Clear Skies,Exploring,Leyton,1,0,
13 August 2025 10:00:00 PM,10:00:00 PM,13-08-2025 22:00,7,Energised,Clear Skies,Exploring,Leyton,1,0,
13 August 2025 11:00:00 PM,11:00:00 PM,13-08-2025 23:00,8,Fulfilled,Clear Skies,Reading,Bedroom,1,1,
14 August 2025 9:00:00 AM,9:00:00 AM,14-08-2025 09:00,8,Energised,Sunny,Sleep,Bedroom,1,0,
14 August 2025 10:00:00 AM,10:00:00 AM,14-08-2025 10:00,8,Focused,Sunny,Work,Office Space,1,1,
14 August 2025 11:00:00 AM,11:00:00 AM,14-08-2025 11:00,7,Happy,Sunny,Lunch,Dining Room,1,1,
14 August 2025 12:00:00 PM,12:00:00 PM,14-08-2025 12:00,7,Tired,Sunny,Work,Office Space,1,1,
14 August 2025 1:00:00 PM,1:00:00 PM,14-08-2025 13:00,6,Calm,Sunny,Work,Office Space,1,1,
14 August 2025 2:00:00 PM,2:00:00 PM,14-08-2025 14:00,7,Focused,Sunny,Work,Office Space,1,1,
14 August 2025 3:00:00 PM,3:00:00 PM,14-08-2025 15:00,7,Focused,Sunny,Work,Office Space,1,1,
14 August 2025 4:00:00 PM,4:00:00 PM,14-08-2025 16:00,7,Tired,Sunny,Gaming,Gaming Room,4,1,
14 August 2025 5:00:00 PM,5:00:00 PM,14-08-2025 17:00,6,Calm,Cloudy,Gaming,Gaming Room,10,0,
14 August 2025 6:00:00 PM,6:00:00 PM,14-08-2025 18:00,7,Calm,Cloudy,Chilling,In-laws,1,0,
14 August 2025 7:00:00 PM,7:00:00 PM,14-08-2025 19:00,7,Excited,Cloudy,Chilling,In-laws,1,0,
14 August 2025 8:00:00 PM,8:00:00 PM,14-08-2025 20:00,8,Energised,Clear Skies,Chilling,In-laws,1,0,
14 August 2025 9:00:00 PM,9:00:00 PM,14-08-2025 21:00,8,Energised,Clear Skies,Chilling,In-laws,1,0,
14 August 2025 10:00:00 PM,10:00:00 PM,14-08-2025 22:00,8,Excited,Clear Skies,Chilling,Ilford Lane,1,0,
14 August 2025 11:00:00 PM,11:00:00 PM,14-08-2025 23:00,8,Excited,Clear Skies,Chilling,Ilford Lane,1,0,
15 August 2025 9:00:00 AM,9:00:00 AM,15-08-2025 09:00,6,Tired,Cloudy,Sleep,Bedroom,1,0,
15 August 2025 10:00:00 AM,10:00:00 AM,15-08-2025 10:00,8,Focused,Sunny,Work,Office Space,1,2,
15 August 2025 11:00:00 AM,11:00:00 AM,15-08-2025 11:00,9,Happy,Sunny,Gaming,Gaming Room,5,0,
15 August 2025 12:00:00 PM,12:00:00 PM,15-08-2025 12:00,7,Happy,Sunny,Lunch,Dining Room,1,0,
15 August 2025 1:00:00 PM,1:00:00 PM,15-08-2025 13:00,6,Tired,Sunny,Work,Office Space,1,1,
15 August 2025 2:00:00 PM,2:00:00 PM,15-08-2025 14:00,6,Fulfilled,Sunny,Prayer,Mosque,1,0,
15 August 2025 3:00:00 PM,3:00:00 PM,15-08-2025 15:00,7,Excited,Sunny,Walk,Ilford Lane,1,2,
15 August 2025 4:00:00 PM,4:00:00 PM,15-08-2025 16:00,8,Excited,Cloudy,YouTube,Office Space,5,0,
15 August 2025 5:00:00 PM,5:00:00 PM,15-08-2025 17:00,8,Excited,Sunny,Driving,Friend's House,1,0,
15 August 2025 6:00:00 PM,6:00:00 PM,15-08-2025 18:00,8,Happy,Sunny,Chilling,Friend's House,1,0,
15 August 2025 7:00:00 PM,7:00:00 PM,15-08-2025 19:00,8,Happy,Sunny,Chilling,Friend's House,1,0,
